patient,group,mediaPosX,mediaPosY,mediaPosZ,mediaAngX,mediaAngY,mediaAngZ,stdPosX,stdPosY,stdPosZ,stdAngX,stdAngY,stdAngZ,kurPosX,kurPosY,kurPosZ,kurAngX,kurAngY,kurAngZ,skwPosX,skwPosY,skwPosZ,skwAngX,skwAngY,skwAngZ
17,A,-0.289042189108639,0.150331519913302,-0.376403977241934,16.5543700536345,8.49283980834465,36.2702306670279,0.298697612858831,0.151142123682893,0.257145746862636,21.2925324424793,75.7732967588774,33.6279000705573,3.92306186089996,9.06576929205209,2.48183492230112,3.6201159435182,3.20922437496081,2.72909959256364,-0.0648633787570205,-2.22192106984104,0.53782874181792,0.010934916139135,-0.195941942587677,-0.185847407272662
18,A,0.0200097462454725,0.0577980838943551,-0.224119471776285,-118.352644652558,-58.4361708496531,40.2923354660797,0.266448537814109,0.245753632381081,0.16768115946493,92.7496402781084,77.5698315509823,35.4328402569669,3.67402072413583,6.92442666506158,4.11089213290351,8.49792997570352,3.46535400022611,1.76847737049156,-0.243439763727378,-2.12503457365789,1.06340123748274,2.65540031869154,1.0185300409878,-0.10118473705769
19,A,0.224655924581328,0.26106708279658,-0.312822564703117,58.2731485830365,17.4789044531312,32.9576255240659,0.259466782819165,0.234241902532393,0.361912590592732,20.2339925050462,71.7185233170883,31.4285067569217,3.23851092448086,5.4237607766719,5.21652879328103,4.83486498506842,2.80647556976386,3.25298193106918,-0.690417394113307,-1.7673506126183,-1.17028614827066,-0.7906429431275,-0.511087259592273,-0.0623666730407498
20,A,-0.212803373589385,0.10797777469808,-0.094690001979806,22.9850085869432,-3.9847574923243,41.3804837438132,0.380261645781296,0.116223923026547,0.346999054481292,22.0459564221155,90.4208255890191,27.1035063148304,2.23910659369069,5.29571267694919,3.32068862659709,2.86742819594369,2.15997861298068,2.31099972400761,-0.390904264854979,-1.55885557806497,1.01939555513108,-0.186766823181238,-0.0827832144957546,-0.148680024886104
21,A,-0.111866019666523,0.00311168020521619,-0.064210337751178,-30.0749852844122,-9.40736113451046,0.852951172295835,0.300321200770982,0.22069371481337,0.238973455635893,20.6075399903046,73.6447781734994,33.0853275181145,3.61850683301208,4.67224119686175,3.3021405201728,3.8943047669473,3.11067070925167,1.9791265358387,-0.227063261358799,-1.58853457052623,0.857189226653556,0.337203560407164,0.238038276932874,-0.436141646216428
22,A,0.0558280287382092,0.340247139649753,-0.243751665918273,31.1486751786776,12.7907106086237,35.6960522613382,0.227012951294709,0.176898949202151,0.153447445110737,14.9385126627943,64.2138931916426,29.7235496947169,7.27279131273202,10.0605804525822,3.50376589086274,5.48946092909464,4.00366036325614,1.81578880294529,-1.10981940519827,-2.42930685964103,0.63746257533424,-0.472702026374173,0.338759594664268,-0.00711756359127839
23,A,-0.463461445978878,0.0782705009477387,-0.43605582994855,24.104639653879,50.9966530441945,29.8826207955592,0.40691962447191,0.280634663772885,0.32061235715867,31.6092102442055,96.8607753204242,38.6616327656841,1.92483197082772,3.08905809443329,2.15248889313977,3.13322928932499,2.59060412380168,2.25420475667945,0.117205645458943,-1.28313581633391,0.0151918717128473,0.907187736328304,-0.882466804335483,-0.588621326229261
24,A,-0.162113766346985,0.277929433304272,-0.293504664341765,-4.17790033888622,44.2192165402441,37.124592021796,0.331072492943078,0.230207351140167,0.242765946407565,18.8877042986418,89.2214931390074,26.9459672631398,3.73042142199917,4.05750787348811,2.37250769484305,4.88358491972515,3.0819640678072,2.01370013116515,-0.049468751563978,-1.49948909267888,0.240689407705174,-0.148551013686881,-0.989025501575269,-0.320610091026542
25,A,0.0301232827071706,-0.0117105249134028,-0.172714303224085,118.779576740418,34.434555792129,3.71592047322138,0.362179649354127,0.177305492570591,0.15549085083791,53.9873189676261,110.909379683228,32.3300646508018,3.29578833949083,9.9434795084843,2.46789664052661,22.8314504135351,1.96976426238335,5.87113287299206,-0.174015140852343,-2.71466147194191,-0.0609703794143273,-4.13368842095953,-0.596590026370991,0.690522558143083
26,A,-0.143238351093671,0.00469902411665689,-0.0952781940549616,3.66952090993503,11.7525392082446,11.2577443174425,0.301178549024235,0.124835310158117,0.158939017421455,13.0906915769978,73.1022082735986,14.1397189154344,3.80097817056349,16.647499196778,3.57939332714405,5.23169023211116,3.11641860217575,2.3641099995658,0.0934228547617524,-3.60732724044711,0.680434334419331,-0.917343881905597,0.0104041725220008,-0.285097461010301
27,A,-0.379997599999999,0.0493202666666668,-0.207261333333333,25.6009603860053,16.5569939872533,24.6700558933333,0.318506857410896,0.149911722489624,0.189719408845397,17.2236976584087,85.5838985559529,29.9312355940112,3.16775845927834,12.6520389007698,2.36544824145669,3.44408899676829,2.62152710321087,4.50444738463788,-0.517014126332696,-3.00120198442161,0.0513977491978314,0.54084878689805,-0.419971101715132,0.819613590887396
28,A,-0.0278601725997757,0.158538446601942,-0.104665199568498,48.0874925226452,26.5134931407048,0.854654742898193,0.271955628970777,0.167178785253205,0.153632983906562,21.6551756336961,83.4252095043465,29.1244953285238,4.64627361276926,7.20366261877348,2.64292368645414,5.32485222534412,2.42245609010223,2.65414673721721,-0.819877707073606,-1.98059758799252,0.390729352959442,-0.890346151802841,-0.597871024869796,-0.383615320431085
